Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-11 10:17:56,2018-04-11 10:20:17,2m - 20.179s,FAILED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatFail,Firefox 58.0,,2018-04-11 10:18:13,2018-04-11 10:18:21,7.546s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:18:13,2018-04-11 10:18:13,0.004s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 10:18:13,2018-04-11 10:18:14,0.577s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 10:18:14,2018-04-11 10:18:20,6.039s,PASSED
click,Firefox 58.0,,2018-04-11 10:18:20,2018-04-11 10:18:20,0.321s,PASSED
util.Verify.isConTrainsText,Firefox 58.0,,2018-04-11 10:18:20,2018-04-11 10:18:21,0.183s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 10:18:21,2018-04-11 10:18:21,0.190s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 10:18:21,2018-04-11 10:18:28,6.903s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:18:21,2018-04-11 10:18:21,0.000s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 10:18:21,2018-04-11 10:18:22,0.748s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 10:18:22,2018-04-11 10:18:27,5.521s,PASSED
click,Firefox 58.0,,2018-04-11 10:18:27,2018-04-11 10:18:27,0.309s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 10:18:27,2018-04-11 10:18:28,0.103s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 10:18:28,2018-04-11 10:18:28,0.024s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 10:18:28,2018-04-11 10:18:34,6.491s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:18:28,2018-04-11 10:18:28,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 10:18:28,2018-04-11 10:18:28,0.465s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 10:18:28,2018-04-11 10:18:34,5.585s,PASSED
click,Firefox 58.0,,2018-04-11 10:18:34,2018-04-11 10:18:34,0.286s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 10:18:34,2018-04-11 10:18:34,0.100s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 10:18:34,2018-04-11 10:18:34,0.022s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 10:18:34,2018-04-11 10:18:41,6.389s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:18:34,2018-04-11 10:18:34,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 10:18:34,2018-04-11 10:18:35,0.385s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 10:18:35,2018-04-11 10:18:40,5.537s,PASSED
click,Firefox 58.0,,2018-04-11 10:18:40,2018-04-11 10:18:40,0.317s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 10:18:40,2018-04-11 10:18:40,0.105s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 10:18:40,2018-04-11 10:18:41,0.027s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-11 10:18:41,2018-04-11 10:18:48,7.084s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:18:41,2018-04-11 10:18:41,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 10:18:41,2018-04-11 10:18:42,0.805s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 10:18:42,2018-04-11 10:18:47,5.628s,PASSED
click,Firefox 58.0,,2018-04-11 10:18:47,2018-04-11 10:18:47,0.272s,PASSED
verifyElementText,Firefox 58.0,,2018-04-11 10:18:47,2018-04-11 10:18:48,0.067s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 10:18:48,2018-04-11 10:18:48,0.052s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-11 10:18:48,2018-04-11 10:18:54,6.650s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:18:48,2018-04-11 10:18:48,0.000s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 10:18:48,2018-04-11 10:18:48,0.432s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 10:18:48,2018-04-11 10:18:54,5.848s,PASSED
click,Firefox 58.0,,2018-04-11 10:18:54,2018-04-11 10:18:54,0.308s,PASSED
verifyElementText,Firefox 58.0,,2018-04-11 10:18:54,2018-04-11 10:18:54,0.032s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 10:18:54,2018-04-11 10:18:54,0.016s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-11 10:18:54,2018-04-11 10:19:01,6.403s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:18:54,2018-04-11 10:18:54,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 10:18:54,2018-04-11 10:18:55,0.439s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 10:18:55,2018-04-11 10:19:00,5.589s,PASSED
click,Firefox 58.0,,2018-04-11 10:19:00,2018-04-11 10:19:01,0.305s,PASSED
verifyElementText,Firefox 58.0,,2018-04-11 10:19:01,2018-04-11 10:19:01,0.031s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 10:19:01,2018-04-11 10:19:01,0.015s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-11 10:19:01,2018-04-11 10:19:07,6.513s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 10:19:01,2018-04-11 10:19:01,0.001s,PASSED
