Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-05 10:50:13,2018-04-05 10:54:35,4m - 21.785s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatFail,Firefox 58.0,,2018-04-05 10:50:14,2018-04-05 10:50:33,18.577s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 10:50:14,2018-04-05 10:50:14,0.013s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 10:50:14,2018-04-05 10:50:27,12.388s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 10:50:27,2018-04-05 10:50:28,1.348s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 10:50:28,2018-04-05 10:50:32,3.998s,PASSED
click,Firefox 58.0,,2018-04-05 10:50:32,2018-04-05 10:50:32,0.297s,PASSED
com.cct.util.Verify.isConTrainsText,Firefox 58.0,,2018-04-05 10:50:32,2018-04-05 10:50:32,0.132s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 10:50:32,2018-04-05 10:50:33,0.137s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-05 10:50:33,2018-04-05 10:51:07,34.188s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 10:50:33,2018-04-05 10:50:33,0.000s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 10:50:33,2018-04-05 10:51:01,28.596s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 10:51:01,2018-04-05 10:51:03,1.426s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 10:51:03,2018-04-05 10:51:06,3.570s,PASSED
click,Firefox 58.0,,2018-04-05 10:51:06,2018-04-05 10:51:07,0.252s,PASSED
com.cct.util.Verify.notConTrainsText,Firefox 58.0,,2018-04-05 10:51:07,2018-04-05 10:51:07,0.071s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 10:51:07,2018-04-05 10:51:07,0.025s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-05 10:51:07,2018-04-05 10:51:23,16.677s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 10:51:07,2018-04-05 10:51:07,0.000s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 10:51:07,2018-04-05 10:51:18,11.347s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 10:51:18,2018-04-05 10:51:19,1.307s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 10:51:19,2018-04-05 10:51:23,3.629s,PASSED
click,Firefox 58.0,,2018-04-05 10:51:23,2018-04-05 10:51:23,0.280s,PASSED
com.cct.util.Verify.notConTrainsText,Firefox 58.0,,2018-04-05 10:51:23,2018-04-05 10:51:23,0.079s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 10:51:23,2018-04-05 10:51:23,0.017s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-05 10:51:23,2018-04-05 10:51:40,16.875s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 10:51:23,2018-04-05 10:51:23,0.000s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 10:51:23,2018-04-05 10:51:35,11.481s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 10:51:35,2018-04-05 10:51:36,1.336s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 10:51:36,2018-04-05 10:51:40,3.676s,PASSED
click,Firefox 58.0,,2018-04-05 10:51:40,2018-04-05 10:51:40,0.263s,PASSED
com.cct.util.Verify.notConTrainsText,Firefox 58.0,,2018-04-05 10:51:40,2018-04-05 10:51:40,0.078s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 10:51:40,2018-04-05 10:51:40,0.020s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/arrPort,Firefox 58.0,,2018-04-05 10:51:40,2018-04-05 10:52:00,20.115s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 10:51:40,2018-04-05 10:51:40,0.000s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 10:51:40,2018-04-05 10:51:52,11.242s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 10:51:52,2018-04-05 10:51:53,1.297s,PASSED
com.cct.util.Dropdownlist.selectDropdownlist,Firefox 58.0,,2018-04-05 10:51:53,2018-04-05 10:51:57,3.787s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 10:51:57,2018-04-05 10:52:00,3.596s,PASSED
verifyElementText,Firefox 58.0,,2018-04-05 10:52:00,2018-04-05 10:52:00,0.048s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 10:52:00,2018-04-05 10:52:00,0.015s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-05 10:52:00,2018-04-05 10:52:17,16.780s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 10:52:00,2018-04-05 10:52:00,0.001s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 10:52:01,2018-04-05 10:52:12,10.858s,PASSED
