Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-11 13:22:41,2018-04-11 13:25:07,2m - 26.045s,FAILED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatFail,Firefox 58.0,,2018-04-11 13:22:56,2018-04-11 13:23:03,7.440s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 13:22:56,2018-04-11 13:22:56,0.002s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 13:22:56,2018-04-11 13:22:56,0.387s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 13:22:56,2018-04-11 13:23:02,5.615s,PASSED
click,Firefox 58.0,,2018-04-11 13:23:02,2018-04-11 13:23:02,0.035s,FAILED
util.Verify.isConTrainsText,Firefox 58.0,,2018-04-11 13:23:02,2018-04-11 13:23:02,0.089s,FAILED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 13:23:02,2018-04-11 13:23:03,1.192s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 13:23:03,2018-04-11 13:23:10,7.099s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 13:23:03,2018-04-11 13:23:03,0.000s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 13:23:03,2018-04-11 13:23:04,0.459s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 13:23:04,2018-04-11 13:23:09,5.275s,PASSED
click,Firefox 58.0,,2018-04-11 13:23:09,2018-04-11 13:23:09,0.033s,FAILED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 13:23:09,2018-04-11 13:23:09,0.059s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 13:23:09,2018-04-11 13:23:10,1.109s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 13:23:10,2018-04-11 13:23:17,7.139s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 13:23:10,2018-04-11 13:23:10,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 13:23:10,2018-04-11 13:23:11,0.594s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 13:23:11,2018-04-11 13:23:16,5.313s,PASSED
click,Firefox 58.0,,2018-04-11 13:23:16,2018-04-11 13:23:16,0.023s,FAILED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 13:23:16,2018-04-11 13:23:16,0.062s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 13:23:16,2018-04-11 13:23:17,1.131s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 13:23:17,2018-04-11 13:23:24,6.929s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 13:23:17,2018-04-11 13:23:17,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 13:23:17,2018-04-11 13:23:18,0.440s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 13:23:18,2018-04-11 13:23:23,5.273s,PASSED
click,Firefox 58.0,,2018-04-11 13:23:23,2018-04-11 13:23:23,0.030s,FAILED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 13:23:23,2018-04-11 13:23:23,0.069s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 13:23:23,2018-04-11 13:23:24,1.104s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-11 13:23:24,2018-04-11 13:23:33,8.506s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 13:23:24,2018-04-11 13:23:24,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 13:23:25,2018-04-11 13:23:26,1.561s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 13:23:26,2018-04-11 13:23:32,5.486s,PASSED
click,Firefox 58.0,,2018-04-11 13:23:32,2018-04-11 13:23:32,0.019s,FAILED
verifyElementText,Firefox 58.0,,2018-04-11 13:23:32,2018-04-11 13:23:32,0.031s,FAILED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 13:23:32,2018-04-11 13:23:33,1.098s,PASSED
,,,,,,
