Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-11 09:51:32,2018-04-11 09:53:51,2m - 19.674s,FAILED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatFail,Firefox 58.0,,2018-04-11 09:51:49,2018-04-11 09:51:56,7.179s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 09:51:49,2018-04-11 09:51:49,0.002s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 09:51:49,2018-04-11 09:51:50,0.537s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 09:51:50,2018-04-11 09:51:56,5.855s,PASSED
click,Firefox 58.0,,2018-04-11 09:51:56,2018-04-11 09:51:56,0.319s,PASSED
util.Verify.isConTrainsText,Firefox 58.0,,2018-04-11 09:51:56,2018-04-11 09:51:56,0.133s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 09:51:56,2018-04-11 09:51:56,0.130s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 09:51:56,2018-04-11 09:52:03,6.977s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 09:51:56,2018-04-11 09:51:56,0.000s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 09:51:56,2018-04-11 09:51:57,0.632s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 09:51:57,2018-04-11 09:52:03,5.718s,PASSED
click,Firefox 58.0,,2018-04-11 09:52:03,2018-04-11 09:52:03,0.308s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 09:52:03,2018-04-11 09:52:03,0.103s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 09:52:03,2018-04-11 09:52:03,0.025s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 09:52:03,2018-04-11 09:52:10,6.533s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 09:52:03,2018-04-11 09:52:03,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 09:52:03,2018-04-11 09:52:04,0.455s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 09:52:04,2018-04-11 09:52:09,5.617s,PASSED
