Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-05 11:32:22,2018-04-05 11:37:58,5m - 36.092s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatFail,Firefox 58.0,,2018-04-05 11:32:23,2018-04-05 11:32:43,20.232s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 11:32:23,2018-04-05 11:32:23,0.003s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 11:32:23,2018-04-05 11:32:37,13.899s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 11:32:37,2018-04-05 11:32:39,1.551s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 11:32:39,2018-04-05 11:32:43,3.996s,PASSED
click,Firefox 58.0,,2018-04-05 11:32:43,2018-04-05 11:32:43,0.318s,PASSED
com.cct.util.Verify.isConTrainsText,Firefox 58.0,,2018-04-05 11:32:43,2018-04-05 11:32:43,0.136s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 11:32:43,2018-04-05 11:32:43,0.147s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-05 11:32:43,2018-04-05 11:33:01,17.622s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 11:32:43,2018-04-05 11:32:43,0.001s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 11:32:43,2018-04-05 11:32:56,12.068s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 11:32:56,2018-04-05 11:32:57,1.466s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 11:32:57,2018-04-05 11:33:01,3.580s,PASSED
click,Firefox 58.0,,2018-04-05 11:33:01,2018-04-05 11:33:01,0.254s,PASSED
com.cct.util.Verify.notConTrainsText,Firefox 58.0,,2018-04-05 11:33:01,2018-04-05 11:33:01,0.072s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 11:33:01,2018-04-05 11:33:01,0.022s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-05 11:33:01,2018-04-05 11:33:20,18.855s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 11:33:01,2018-04-05 11:33:01,0.001s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 11:33:01,2018-04-05 11:33:14,13.375s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 11:33:14,2018-04-05 11:33:16,1.515s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 11:33:16,2018-04-05 11:33:19,3.605s,PASSED
click,Firefox 58.0,,2018-04-05 11:33:19,2018-04-05 11:33:20,0.253s,PASSED
com.cct.util.Verify.notConTrainsText,Firefox 58.0,,2018-04-05 11:33:20,2018-04-05 11:33:20,0.076s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 11:33:20,2018-04-05 11:33:20,0.016s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-05 11:33:20,2018-04-05 11:33:37,17.154s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 11:33:20,2018-04-05 11:33:20,0.000s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 11:33:20,2018-04-05 11:33:32,11.767s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 11:33:32,2018-04-05 11:33:33,1.418s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 11:33:33,2018-04-05 11:33:37,3.577s,PASSED
click,Firefox 58.0,,2018-04-05 11:33:37,2018-04-05 11:33:37,0.267s,PASSED
com.cct.util.Verify.notConTrainsText,Firefox 58.0,,2018-04-05 11:33:37,2018-04-05 11:33:37,0.077s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 11:33:37,2018-04-05 11:33:37,0.027s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/arrPort,Firefox 58.0,,2018-04-05 11:33:37,2018-04-05 11:33:58,20.955s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 11:33:37,2018-04-05 11:33:37,0.001s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 11:33:37,2018-04-05 11:33:49,11.820s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 11:33:49,2018-04-05 11:33:50,1.325s,PASSED
com.cct.util.Dropdownlist.selectDropdownlist,Firefox 58.0,,2018-04-05 11:33:50,2018-04-05 11:33:54,3.800s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 11:33:54,2018-04-05 11:33:58,3.615s,PASSED
verifyElementText,Firefox 58.0,,2018-04-05 11:33:58,2018-04-05 11:33:58,0.058s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 11:33:58,2018-04-05 11:33:58,0.186s,PASSED
,,,,,,
