Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-11 13:35:24,2018-04-11 13:38:00,2m - 35.675s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatFail,Firefox 58.0,,2018-04-11 13:35:40,2018-04-11 13:35:48,7.783s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 13:35:40,2018-04-11 13:35:40,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 13:35:40,2018-04-11 13:35:41,0.432s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 13:35:41,2018-04-11 13:35:46,5.511s,PASSED
click,Firefox 58.0,,2018-04-11 13:35:46,2018-04-11 13:35:46,0.258s,PASSED
delay,Firefox 58.0,,2018-04-11 13:35:46,2018-04-11 13:35:47,1.003s,PASSED
click,Firefox 58.0,,2018-04-11 13:35:47,2018-04-11 13:35:48,0.278s,PASSED
util.Verify.isConTrainsText,Firefox 58.0,,2018-04-11 13:35:48,2018-04-11 13:35:48,0.094s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 13:35:48,2018-04-11 13:35:48,0.072s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 13:35:48,2018-04-11 13:35:56,7.746s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 13:35:48,2018-04-11 13:35:48,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 13:35:48,2018-04-11 13:35:49,0.688s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 13:35:49,2018-04-11 13:35:54,5.278s,PASSED
click,Firefox 58.0,,2018-04-11 13:35:54,2018-04-11 13:35:54,0.243s,PASSED
delay,Firefox 58.0,,2018-04-11 13:35:54,2018-04-11 13:35:55,1.004s,PASSED
click,Firefox 58.0,,2018-04-11 13:35:55,2018-04-11 13:35:55,0.300s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 13:35:55,2018-04-11 13:35:56,0.084s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 13:35:56,2018-04-11 13:35:56,0.017s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 13:35:56,2018-04-11 13:36:03,7.576s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 13:35:56,2018-04-11 13:35:56,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 13:35:56,2018-04-11 13:35:56,0.482s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 13:35:56,2018-04-11 13:36:01,5.400s,PASSED
click,Firefox 58.0,,2018-04-11 13:36:01,2018-04-11 13:36:02,0.253s,PASSED
delay,Firefox 58.0,,2018-04-11 13:36:02,2018-04-11 13:36:03,1.003s,PASSED
click,Firefox 58.0,,2018-04-11 13:36:03,2018-04-11 13:36:03,0.304s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 13:36:03,2018-04-11 13:36:03,0.092s,PASSED
