Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-11 11:18:08,2018-04-11 11:20:21,2m - 13.166s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatFail,Firefox 58.0,,2018-04-11 11:18:27,2018-04-11 11:18:33,6.665s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:18:27,2018-04-11 11:18:27,0.002s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 11:18:27,2018-04-11 11:18:27,0.386s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 11:18:27,2018-04-11 11:18:33,5.653s,PASSED
click,Firefox 58.0,,2018-04-11 11:18:33,2018-04-11 11:18:33,0.292s,PASSED
util.Verify.isConTrainsText,Firefox 58.0,,2018-04-11 11:18:33,2018-04-11 11:18:33,0.108s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 11:18:33,2018-04-11 11:18:33,0.085s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 11:18:33,2018-04-11 11:18:40,6.630s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:18:34,2018-04-11 11:18:34,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 11:18:34,2018-04-11 11:18:34,0.715s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 11:18:34,2018-04-11 11:18:40,5.306s,PASSED
click,Firefox 58.0,,2018-04-11 11:18:40,2018-04-11 11:18:40,0.261s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 11:18:40,2018-04-11 11:18:40,0.070s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 11:18:40,2018-04-11 11:18:40,0.022s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 11:18:40,2018-04-11 11:18:47,6.398s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:18:40,2018-04-11 11:18:40,0.000s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 11:18:40,2018-04-11 11:18:41,0.651s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 11:18:41,2018-04-11 11:18:46,5.293s,PASSED
click,Firefox 58.0,,2018-04-11 11:18:46,2018-04-11 11:18:46,0.340s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 11:18:46,2018-04-11 11:18:47,0.079s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 11:18:47,2018-04-11 11:18:47,0.021s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 11:18:47,2018-04-11 11:18:53,6.079s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:18:47,2018-04-11 11:18:47,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 11:18:47,2018-04-11 11:18:47,0.535s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 11:18:47,2018-04-11 11:18:52,5.203s,PASSED
click,Firefox 58.0,,2018-04-11 11:18:52,2018-04-11 11:18:53,0.249s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 11:18:53,2018-04-11 11:18:53,0.060s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 11:18:53,2018-04-11 11:18:53,0.019s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-11 11:18:53,2018-04-11 11:18:59,6.657s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:18:53,2018-04-11 11:18:53,0.001s,PASSED
