Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-05 10:40:10,2018-04-05 10:40:31,20.236s,ERROR
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberLength,Firefox 58.0,,2018-04-05 10:40:12,2018-04-05 10:40:30,18.214s,ERROR
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 10:40:12,2018-04-05 10:40:12,0.028s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 10:40:12,2018-04-05 10:40:25,12.622s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 10:40:25,2018-04-05 10:40:26,1.259s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 10:40:26,2018-04-05 10:40:30,3.745s,PASSED
com.cct.util.Verify.verifyValueLenght,Firefox 58.0,,2018-04-05 10:40:30,2018-04-05 10:40:30,0.096s,ERROR
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 10:40:30,2018-04-05 10:40:30,0.223s,PASSED
