Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-11 11:13:34,2018-04-11 11:15:54,2m - 20.141s,FAILED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatFail,Firefox 58.0,,2018-04-11 11:13:51,2018-04-11 11:13:58,7.232s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:13:51,2018-04-11 11:13:51,0.008s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 11:13:51,2018-04-11 11:13:52,0.460s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 11:13:52,2018-04-11 11:13:58,6.010s,PASSED
click,Firefox 58.0,,2018-04-11 11:13:58,2018-04-11 11:13:58,0.275s,PASSED
util.Verify.isConTrainsText,Firefox 58.0,,2018-04-11 11:13:58,2018-04-11 11:13:58,0.121s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 11:13:58,2018-04-11 11:13:58,0.092s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 11:13:58,2018-04-11 11:14:05,6.729s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:13:58,2018-04-11 11:13:58,0.000s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 11:13:59,2018-04-11 11:13:59,0.437s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 11:13:59,2018-04-11 11:14:05,5.593s,PASSED
click,Firefox 58.0,,2018-04-11 11:14:05,2018-04-11 11:14:05,0.333s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 11:14:05,2018-04-11 11:14:05,0.101s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 11:14:05,2018-04-11 11:14:05,0.028s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 11:14:05,2018-04-11 11:14:12,6.777s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:14:05,2018-04-11 11:14:05,0.000s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 11:14:05,2018-04-11 11:14:06,0.792s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 11:14:06,2018-04-11 11:14:11,5.503s,PASSED
click,Firefox 58.0,,2018-04-11 11:14:11,2018-04-11 11:14:12,0.330s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 11:14:12,2018-04-11 11:14:12,0.105s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 11:14:12,2018-04-11 11:14:12,0.027s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-11 11:14:12,2018-04-11 11:14:18,6.394s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:14:12,2018-04-11 11:14:12,0.000s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 11:14:12,2018-04-11 11:14:12,0.403s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 11:14:12,2018-04-11 11:14:18,5.549s,PASSED
click,Firefox 58.0,,2018-04-11 11:14:18,2018-04-11 11:14:18,0.301s,PASSED
util.Verify.notConTrainsText,Firefox 58.0,,2018-04-11 11:14:18,2018-04-11 11:14:18,0.105s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 11:14:18,2018-04-11 11:14:18,0.021s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-11 11:14:18,2018-04-11 11:14:25,6.983s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:14:18,2018-04-11 11:14:18,0.002s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 11:14:19,2018-04-11 11:14:19,0.385s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 11:14:19,2018-04-11 11:14:25,5.925s,PASSED
click,Firefox 58.0,,2018-04-11 11:14:25,2018-04-11 11:14:25,0.327s,PASSED
verifyElementText,Firefox 58.0,,2018-04-11 11:14:25,2018-04-11 11:14:25,0.070s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 11:14:25,2018-04-11 11:14:25,0.022s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-11 11:14:25,2018-04-11 11:14:32,6.698s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:14:25,2018-04-11 11:14:25,0.001s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-11 11:14:25,2018-04-11 11:14:26,0.430s,PASSED
common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-11 11:14:26,2018-04-11 11:14:32,5.834s,PASSED
click,Firefox 58.0,,2018-04-11 11:14:32,2018-04-11 11:14:32,0.298s,PASSED
verifyElementText,Firefox 58.0,,2018-04-11 11:14:32,2018-04-11 11:14:32,0.080s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-11 11:14:32,2018-04-11 11:14:32,0.037s,PASSED
,,,,,,
Test Cases/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-11 11:14:32,2018-04-11 11:14:39,7.373s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-11 11:14:32,2018-04-11 11:14:32,0.000s,PASSED
