Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-09 15:34:10,2018-04-09 15:35:27,1m - 17.177s,ERROR
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatFail,Firefox 58.0,,2018-04-09 15:34:11,2018-04-09 15:34:31,20.242s,ERROR
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-09 15:34:11,2018-04-09 15:34:11,0.008s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-09 15:34:11,2018-04-09 15:34:25,14.076s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-09 15:34:25,2018-04-09 15:34:27,1.394s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-09 15:34:27,2018-04-09 15:34:31,3.987s,PASSED
click,Firefox 58.0,,2018-04-09 15:34:31,2018-04-09 15:34:31,0.272s,PASSED
com.cct.util.Verify.isConTrainsText,Firefox 58.0,,2018-04-09 15:34:31,2018-04-09 15:34:31,0.004s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-09 15:34:31,2018-04-09 15:34:31,0.327s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-09 15:34:31,2018-04-09 15:34:50,18.522s,ERROR
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-09 15:34:31,2018-04-09 15:34:31,0.001s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-09 15:34:31,2018-04-09 15:34:44,12.748s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-09 15:34:44,2018-04-09 15:34:46,1.507s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-09 15:34:46,2018-04-09 15:34:49,3.598s,PASSED
click,Firefox 58.0,,2018-04-09 15:34:49,2018-04-09 15:34:50,0.339s,PASSED
com.cct.util.Verify.notConTrainsText,Firefox 58.0,,2018-04-09 15:34:50,2018-04-09 15:34:50,0.003s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-09 15:34:50,2018-04-09 15:34:50,0.134s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-09 15:34:50,2018-04-09 15:35:09,18.980s,ERROR
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-09 15:34:50,2018-04-09 15:34:50,0.000s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-09 15:34:50,2018-04-09 15:35:03,13.556s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-09 15:35:03,2018-04-09 15:35:05,1.513s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-09 15:35:05,2018-04-09 15:35:08,3.541s,PASSED
click,Firefox 58.0,,2018-04-09 15:35:08,2018-04-09 15:35:09,0.253s,PASSED
com.cct.util.Verify.notConTrainsText,Firefox 58.0,,2018-04-09 15:35:09,2018-04-09 15:35:09,0.003s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-09 15:35:09,2018-04-09 15:35:09,0.094s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/FlightNumberFormatTrue,Firefox 58.0,,2018-04-09 15:35:09,2018-04-09 15:35:26,17.607s,ERROR
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-09 15:35:09,2018-04-09 15:35:09,0.000s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-09 15:35:09,2018-04-09 15:35:21,12.044s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-09 15:35:21,2018-04-09 15:35:22,1.532s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-09 15:35:22,2018-04-09 15:35:26,3.585s,PASSED
click,Firefox 58.0,,2018-04-09 15:35:26,2018-04-09 15:35:26,0.285s,PASSED
com.cct.util.Verify.notConTrainsText,Firefox 58.0,,2018-04-09 15:35:26,2018-04-09 15:35:26,0.006s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-09 15:35:26,2018-04-09 15:35:26,0.144s,PASSED
