Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addOpenSchedule,Firefox 58.0,,2018-04-05 10:19:24,2018-04-05 10:21:43,2m - 18.771s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-05 10:19:26,2018-04-05 10:19:44,18.225s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 10:19:26,2018-04-05 10:19:26,0.004s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 10:19:26,2018-04-05 10:19:38,12.156s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 10:19:38,2018-04-05 10:19:39,1.370s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 10:19:39,2018-04-05 10:19:43,3.934s,PASSED
click,Firefox 58.0,,2018-04-05 10:19:43,2018-04-05 10:19:44,0.311s,PASSED
verifyElementText,Firefox 58.0,,2018-04-05 10:19:44,2018-04-05 10:19:44,0.064s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 10:19:44,2018-04-05 10:19:44,0.125s,PASSED
,,,,,,
Test Cases/com/cct/serviceschedule/openschedule/add/blankValue,Firefox 58.0,,2018-04-05 10:19:44,2018-04-05 10:20:01,16.760s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 58.0,,2018-04-05 10:19:44,2018-04-05 10:19:44,0.001s,PASSED
com.cct.common.security.login.Login.loginDefault,Firefox 58.0,,2018-04-05 10:19:44,2018-04-05 10:19:55,11.379s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.gotoPage,Firefox 58.0,,2018-04-05 10:19:55,2018-04-05 10:19:56,1.239s,PASSED
com.cct.common.serviceschedule.addopenschedule.AddOpenSchedule.setValueToInput,Firefox 58.0,,2018-04-05 10:19:56,2018-04-05 10:20:00,3.711s,PASSED
click,Firefox 58.0,,2018-04-05 10:20:00,2018-04-05 10:20:01,0.315s,PASSED
verifyElementText,Firefox 58.0,,2018-04-05 10:20:01,2018-04-05 10:20:01,0.054s,PASSED
Start listener action : sampleAfterTestCase,Firefox 58.0,,2018-04-05 10:20:01,2018-04-05 10:20:01,0.020s,PASSED
,,,,,,
